('Total Revenue', '159,969,000', '143,015,000', '125,843,000', '110,360,000', '89,950,000')
         449680 function calls (437022 primitive calls) in 2.363 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    48090    0.010    0.000    0.013    0.000 {built-in method builtins.isinstance}
    45073    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
32563/29415    0.007    0.000    0.008    0.000 {built-in method builtins.len}
    18538    0.012    0.000    0.012    0.000 sre_parse.py:233(__next)
    16536    0.009    0.000    0.013    0.000 sre_parse.py:164(__getitem__)
    14236    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
    13018    0.006    0.000    0.014    0.000 sre_parse.py:254(get)
    12436    0.019    0.000    0.019    0.000 {method 'match' of 're.Pattern' objects}
     8793    0.004    0.000    0.006    0.000 sre_parse.py:249(match)
8081/7704    0.003    0.000    0.065    0.000 {built-in method builtins.hasattr}
     7395    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
     6997    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
     6879    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
     6367    0.003    0.000    0.004    0.000 sre_parse.py:160(__len__)
     5876    0.004    0.000    0.004    0.000 {method 'group' of 're.Match' objects}
     5653    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     5038    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     4860    0.004    0.000    0.006    0.000 _markupbase.py:48(updatepos)
     4398    0.001    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
     4398    0.001    0.000    0.003    0.000 abc.py:96(__instancecheck__)
     4033    0.002    0.000    0.003    0.000 sre_parse.py:172(append)
     3937    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     3864    0.002    0.000    0.003    0.000 sre_parse.py:286(tell)
     3714    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
     3623    0.002    0.000    0.002    0.000 {method 'find' of 'bytearray' objects}
3506/3438    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
     3050    0.002    0.000    0.002    0.000 sre_parse.py:111(__init__)
     2800    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
     2690    0.000    0.000    0.000    0.000 element.py:1419(__bool__)
     2620    0.001    0.000    0.001    0.000 __init__.py:122(unescape)
     2615    0.002    0.000    0.003    0.000 __init__.py:478(string_container)
     2615    0.004    0.000    0.012    0.000 __init__.py:541(endData)
     2556    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     2483    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
 2445/346    0.007    0.000    0.009    0.000 sre_parse.py:174(getwidth)
 2383/172    0.018    0.000    0.048    0.000 sre_compile.py:71(_compile)
     2332    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
     2332    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     2251    0.001    0.000    0.004    0.000 css_parser.py:308(match)
     2245    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     2145    0.004    0.000    0.004    0.000 element.py:158(setup)
     2132    0.002    0.000    0.003    0.000 element.py:1943(_normalize_search_value)
2123/1291    0.005    0.000    0.012    0.000 element.py:2076(_matches)
     2104    0.001    0.000    0.009    0.000 {built-in method builtins.next}
     1956    0.001    0.000    0.001    0.000 element.py:1802(descendants)
     1772    0.002    0.000    0.023    0.000 element.py:2043(search)
     1647    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
     1643    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
 1638/179    0.034    0.000    0.099    0.001 sre_parse.py:493(_parse)
     1622    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1550    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     1370    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1370    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1365    0.001    0.000    0.001    0.000 element.py:1376(get)
     1339    0.001    0.000    0.002    0.000 sre_parse.py:168(__setitem__)
     1317    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     1297    0.001    0.000    0.002    0.000 {built-in method builtins.max}
     1295    0.004    0.000    0.019    0.000 element.py:1980(search_tag)
     1274    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     1195    0.004    0.000    0.005    0.000 __init__.py:527(pushTag)
     1195    0.001    0.000    0.001    0.000 __init__.py:195(can_be_empty_element)
     1195    0.001    0.000    0.001    0.000 __init__.py:434(set_up_substitutions)
     1195    0.007    0.000    0.021    0.000 element.py:1068(__init__)
     1194    0.003    0.000    0.003    0.000 __init__.py:513(popTag)
     1194    0.004    0.000    0.008    0.000 __init__.py:644(_popToTag)
     1194    0.006    0.000    0.034    0.000 __init__.py:678(handle_starttag)
     1194    0.002    0.000    0.017    0.000 __init__.py:716(handle_endtag)
     1194    0.001    0.000    0.001    0.000 element.py:1184(is_empty_element)
     1194    0.005    0.000    0.042    0.000 _htmlparser.py:119(handle_starttag)
