('Total Revenue', '159,969,000', '143,015,000', '125,843,000', '110,360,000', '89,950,000')
         367852 function calls (358932 primitive calls) in 6.103 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.002    5.002    5.002    5.002 {built-in method time.sleep}
      647    0.602    0.001    0.602    0.001 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.050    0.050    0.050    0.050 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.047    0.047    0.047    0.047 {method 'connect' of '_socket.socket' objects}
        1    0.032    0.032    0.034    0.034 {built-in method _socket.getaddrinfo}
       19    0.018    0.001    0.018    0.001 {built-in method _imp.create_dynamic}
    12416    0.017    0.000    0.017    0.000 {method 'match' of 're.Pattern' objects}
 1277/135    0.016    0.000    0.048    0.000 sre_parse.py:493(_parse)
     1194    0.015    0.000    0.075    0.000 parser.py:301(parse_starttag)
      105    0.011    0.000    0.011    0.000 {built-in method marshal.loads}
        2    0.010    0.005    0.123    0.061 parser.py:134(goahead)
        1    0.008    0.008    0.008    0.008 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
 1715/130    0.008    0.000    0.021    0.000 sre_compile.py:71(_compile)
    41654    0.007    0.000    0.009    0.000 {built-in method builtins.isinstance}
      549    0.007    0.000    0.007    0.000 {built-in method posix.stat}
     1195    0.006    0.000    0.019    0.000 element.py:1068(__init__)
     1194    0.006    0.000    0.038    0.000 _htmlparser.py:119(handle_starttag)
      105    0.005    0.000    0.005    0.000 {built-in method io.open_code}
        1    0.005    0.005    0.005    0.005 {built-in method _scproxy._get_proxies}
    11529    0.005    0.000    0.005    0.000 sre_parse.py:233(__next)
     1194    0.005    0.000    0.030    0.000 __init__.py:678(handle_starttag)
      532    0.005    0.000    0.007    0.000 sre_compile.py:276(_optimize_charset)
      309    0.005    0.000    0.060    0.000 {built-in method builtins.__build_class__}
     1145    0.005    0.000    0.009    0.000 __init__.py:284(_replace_cdata_list_attribute_values)
    35994    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
    11555    0.004    0.000    0.006    0.000 sre_parse.py:164(__getitem__)
     3701    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
      321    0.004    0.000    0.281    0.001 {method 'read' of '_io.BufferedReader' objects}
     1121    0.004    0.000    0.022    0.000 parser.py:386(parse_endtag)
      784    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x10b542808}
24652/22351    0.004    0.000    0.005    0.000 {built-in method builtins.len}
  850/131    0.004    0.000    0.049    0.000 sre_parse.py:435(_parse_sub)
     1295    0.004    0.000    0.016    0.000 element.py:1980(search_tag)
2123/1291    0.004    0.000    0.009    0.000 element.py:2076(_matches)
     1195    0.004    0.000    0.004    0.000 __init__.py:527(pushTag)
     1194    0.004    0.000    0.007    0.000 __init__.py:644(_popToTag)
 1726/252    0.004    0.000    0.005    0.000 sre_parse.py:174(getwidth)
     2615    0.003    0.000    0.012    0.000 __init__.py:541(endData)
     4860    0.003    0.000    0.005    0.000 _markupbase.py:48(updatepos)
     2145    0.003    0.000    0.003    0.000 element.py:158(setup)
      751    0.003    0.000    0.003    0.000 {method 'findall' of 're.Pattern' objects}
     5874    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
      472    0.003    0.000    0.004    0.000 css_types.py:37(__init__)
     7603    0.003    0.000    0.006    0.000 sre_parse.py:254(get)
    13577    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
     1194    0.003    0.000    0.003    0.000 __init__.py:513(popTag)
      275    0.003    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
       57    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
     1772    0.002    0.000    0.020    0.000 element.py:2043(search)
     2799    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
     2615    0.002    0.000    0.003    0.000 __init__.py:478(string_container)
     6238    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
      647    0.002    0.000    0.606    0.001 ssl.py:1230(recv_into)
      647    0.002    0.000    0.609    0.001 socket.py:655(readinto)
        1    0.002    0.002    0.002    0.002 socket.py:732(close)
     1194    0.002    0.000    0.007    0.000 parser.py:352(check_for_whole_start_tag)
     5689    0.002    0.000    0.003    0.000 sre_parse.py:249(match)
     7689    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
        7    0.002    0.000    0.002    0.000 {method 'join' of 'bytes' objects}
      270    0.002    0.000    0.079    0.000 re.py:289(_compile)
       10    0.002    0.000    0.003    0.000 __init__.py:313(namedtuple)
       16    0.002    0.000    0.004    0.000 enum.py:157(__new__)
     6499    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
       36    0.001    0.000    0.023    0.001 element.py:738(_find_all)
      647    0.001    0.000    0.603    0.001 ssl.py:1090(read)
     1194    0.001    0.000    0.015    0.000 __init__.py:716(handle_endtag)
     4510    0.001    0.000    0.002    0.000 sre_parse.py:160(__len__)
        1    0.001    0.001    0.001    0.001 dammit.py:521(_to_unicode)
     2132    0.001    0.000    0.003    0.000 element.py:1943(_normalize_search_value)
     2686    0.001    0.000    0.002    0.000 sre_parse.py:286(tell)
     4370    0.001    0.000    0.002    0.000 abc.py:96(__instancecheck__)
      325    0.001    0.000    0.005    0.000 css_parser.py:1014(selector_iter)
      475    0.001    0.000    0.003    0.000 __init__.py:576(object_was_parsed)
     3027    0.001    0.000    0.002    0.000 sre_parse.py:172(append)
      544    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     6997    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
     4133    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     1194    0.001    0.000    0.016    0.000 _htmlparser.py:171(handle_endtag)
    116/1    0.001    0.000    6.103    6.103 {built-in method builtins.exec}
      131    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap>:890(_find_spec)
     1413    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     4370    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      105    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:914(get_code)
      105    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
     2211    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
     1413    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
      959    0.001    0.000    0.002    0.000 sre_parse.py:295(_class_escape)
    52/14    0.001    0.000    0.019    0.001 css_parser.py:862(parse_selectors)
     1194    0.001    0.000    0.001    0.000 element.py:1184(is_empty_element)
      210    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
     1071    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      532    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
      475    0.001    0.000    0.003    0.000 element.py:890(__new__)
     2620    0.001    0.000    0.001    0.000 __init__.py:122(unescape)
      130    0.001    0.000    0.077    0.001 sre_compile.py:759(compile)
    132/3    0.001    0.000    0.186    0.062 <frozen importlib._bootstrap>:986(_find_and_load)
      128    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
     2342    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     2370    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     2251    0.001    0.000    0.003    0.000 css_parser.py:308(match)
      130    0.001    0.000    0.004    0.000 sre_compile.py:536(_compile_info)
     1365    0.001    0.000    0.001    0.000 element.py:1376(get)
      645    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
       77    0.001    0.000    0.006    0.000 css_parser.py:458(parse_attribute_selector)
      273    0.001    0.000    0.001    0.000 enum.py:75(__setitem__)
     1195    0.001    0.000    0.001    0.000 __init__.py:195(can_be_empty_element)
     2099    0.001    0.000    0.007    0.000 {built-in method builtins.next}
      875    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
     1956    0.001    0.000    0.001    0.000 element.py:1802(descendants)
      127    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
      151    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      109    0.001    0.000    0.001    0.000 client.py:510(_read_next_chunk_size)
    127/4    0.001    0.000    0.185    0.046 <frozen importlib._bootstrap>:650(_load_unlocked)
      647    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     1341    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        9    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      120    0.001    0.000    0.001    0.000 __init__.py:604(_linkage_fixer)
    132/3    0.001    0.000    0.186    0.062 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
      544    0.001    0.000    0.002    0.000 sre_parse.py:432(_uniq)
        1    0.001    0.001    0.286    0.286 client.py:564(_readall_chunked)
     1531    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     1195    0.001    0.000    0.001    0.000 __init__.py:434(set_up_substitutions)
      333    0.000    0.000    0.001    0.000 enum.py:417(__setattr__)
      130    0.000    0.000    0.050    0.000 sre_parse.py:937(parse)
      408    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
     2556    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
      321    0.000    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
     1194    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
     1121    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
      136    0.000    0.000    0.001    0.000 css_parser.py:360(__init__)
      216    0.000    0.000    0.280    0.001 client.py:602(_safe_read)
       95    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      648    0.000    0.000    0.000    0.000 socket.py:694(readable)
     2690    0.000    0.000    0.000    0.000 element.py:1419(__bool__)
     3052    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     1002    0.000    0.000    0.001    0.000 {built-in method builtins.max}
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
      124    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
      567    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
  136/131    0.000    0.000    0.004    0.000 css_parser.py:386(freeze)
      210    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      109    0.000    0.000    0.004    0.000 client.py:540(_get_chunk_left)
       16    0.000    0.000    0.001    0.000 enum.py:200(<setcomp>)
      647    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
