('Total Revenue', '159,969,000', '143,015,000', '125,843,000', '110,360,000', '89,950,000')
         367967 function calls (359047 primitive calls) in 2.303 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    1.043    1.043    1.045    1.045 {built-in method _socket.getaddrinfo}
      661    0.714    0.001    0.714    0.001 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.051    0.051    0.051    0.051 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.046    0.046    0.046    0.046 {method 'connect' of '_socket.socket' objects}
 1277/135    0.023    0.000    0.069    0.001 sre_parse.py:493(_parse)
       19    0.022    0.001    0.022    0.001 {built-in method _imp.create_dynamic}
    12416    0.017    0.000    0.017    0.000 {method 'match' of 're.Pattern' objects}
      105    0.016    0.000    0.016    0.000 {built-in method marshal.loads}
        1    0.014    0.014    0.014    0.014 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
     1194    0.013    0.000    0.066    0.000 parser.py:301(parse_starttag)
 1715/130    0.012    0.000    0.031    0.000 sre_compile.py:71(_compile)
      549    0.010    0.000    0.010    0.000 {built-in method posix.stat}
        2    0.009    0.004    0.108    0.054 parser.py:134(goahead)
    11529    0.008    0.000    0.008    0.000 sre_parse.py:233(__next)
      105    0.008    0.000    0.008    0.000 {built-in method io.open_code}
      532    0.007    0.000    0.011    0.000 sre_compile.py:276(_optimize_charset)
    41654    0.007    0.000    0.009    0.000 {built-in method builtins.isinstance}
      309    0.007    0.000    0.082    0.000 {built-in method builtins.__build_class__}
    11555    0.006    0.000    0.009    0.000 sre_parse.py:164(__getitem__)
    35992    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
      472    0.006    0.000    0.008    0.000 css_types.py:37(__init__)
        1    0.006    0.006    0.006    0.006 {built-in method _scproxy._get_proxies}
     1195    0.006    0.000    0.016    0.000 element.py:1068(__init__)
  850/131    0.005    0.000    0.070    0.001 sre_parse.py:435(_parse_sub)
      784    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0x102138808}
     1194    0.005    0.000    0.033    0.000 _htmlparser.py:119(handle_starttag)
24660/22359    0.005    0.000    0.006    0.000 {built-in method builtins.len}
 1726/252    0.005    0.000    0.007    0.000 sre_parse.py:174(getwidth)
      317    0.005    0.000    0.280    0.001 {method 'read' of '_io.BufferedReader' objects}
     3701    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
     1194    0.004    0.000    0.026    0.000 __init__.py:678(handle_starttag)
     1145    0.004    0.000    0.008    0.000 __init__.py:284(_replace_cdata_list_attribute_values)
     7603    0.004    0.000    0.009    0.000 sre_parse.py:254(get)
      275    0.004    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
     1121    0.003    0.000    0.019    0.000 parser.py:386(parse_endtag)
2123/1291    0.003    0.000    0.009    0.000 element.py:2076(_matches)
       57    0.003    0.000    0.003    0.000 {built-in method posix.getcwd}
       10    0.003    0.000    0.005    0.001 __init__.py:313(namedtuple)
     1295    0.003    0.000    0.014    0.000 element.py:1980(search_tag)
